"","x"
"669","B4galt1"
"670","Nsg2"
"671","Ifngr2"
"672","AB124611"
"673","Tnfaip8l2"
"674","Rtl8b"
"675","Rtl8a"
"676","Acp5"
"677","Rflnb"
"678","Dntt"
"679","Cyth4"
"680","Itgb7"
"681","Snai3"
"682","Fech"
"683","Ttc7"
"684","Prex1"
"685","St8sia1"
"686","Calcrl"
"687","Gm42363"
"688","Fnbp1l"
"689","Gm38675"
"690","Peli2"
"691","Wipi1"
"692","Lmtk3"
"693","Hoxa7"
"694","Cotl1"
"695","Gtf2ird1"
"696","Cd96"
"697","Ehd3"
"698","Bbc3"
"699","Nhsl1"
"700","2900093K20Rik"
"701","Tmem218"
"702","Pcdhgb7"
"703","BC051537"
"704","Parpbp"
"705","Gm39272"
"706","Slc26a1"
"707","Gm38865"
"708","Csgalnact1"
"709","Hykk"
"710","Gm19522"
"711","Gm15537"
"712","Ccn6"
"713","Gm36917"
"714","Gm51817"
"715","Gm38948"
"716","Gm52870"
"717","Tgfa"
"718","Ptgr1"
"719","Platr11"
"720","Gm46371"
"721","Gm30541"
"722","Gm16120"
"723","Lbp"
"724","Gm39908"
"725","Gm26685"
"726","Smtn"
"727","Bend7"
"728","C430042M11Rik"
"729","Trex1"
"730","Mrgpre"
"731","Tssk6"
"732","1700120C14Rik"
"733","Gstp2"
"734","Ptgir"
"735","Gm46605"
"736","Gm10910"
"737","Gm31485"
"738","9530018F02Rik"
"739","Vgf"
"740","Pax8"
"741","Gm8493"
"742","Gm38956"
"743","Qrich2"
"744","Fscn2"
"745","Gm38431"
"746","Gm2436"
"747","Gm35466"
"748","Actg2"
"749","Kcnmb4os2"
"750","Rnf208"
"751","Gm35266"
"752","H1f0"
"753","Gm52612"
"754","Slc4a11"
"755","Esrp2"
"756","Ceacam16"
"757","Trim16"
"758","Pcyt1a"
"759","Mpzl2"
"760","Maf"
"761","Elfn2"
"762","Gm21284"
"763","Ago4"
"764","Gm52742"
"765","Gm40582"
"766","Gm41113"
"767","Gm26615"
"768","Gm9875"
"769","Gm40773"
"770","Gm35363"
"771","Gm51796"
"772","2810454H06Rik"
"773","Gm10914"
"774","Gm39442"
"775","4930451G09Rik"
"776","Ctsf"
"777","Gm38599"
"778","LOC115489411"
"779","Gm51911"
"780","B3gnt5"
"781","Asah2"
"782","Gm52502"
"783","Gm36157"
"784","Gm52217"
"785","4831440E17Rik"
"786","Rhob"
"787","Plekha4"
"788","Neat1"
"789","Gm31897"
"790","Gm46046"
"791","Lgi4"
"792","Sele"
"793","Gm38440"
"794","Gm52034"
"795","Rgs9bp"
"796","Tmem8b"
"797","2700046G09Rik"
"798","Gm32287"
"799","C920009B18Rik"
"800","Msh5"
"801","Arsg"
"802","LOC115487097"
"803","Vasn"
"804","Gm39499"
"805","Gm41688"
"806","Gm32715"
"807","Gm45995"
"808","Gm16322"
"809","Gm52507"
"810","4732490B19Rik"
"811","0610040B10Rik"
"812","Gm41285"
"813","Gm19417"
"814","Nptx1"
"815","4931415C17Rik"
"816","Gm33281"
"817","Gm14320"
"818","Gm30369"
"819","Gm35150"
"820","Bphl"
"821","Zbtb20"
"822","Podnl1"
"823","Rapgef4"
"824","Nlrc3"
"825","Itga4"
"826","Map2k6"
"827","Pex11g"
"828","Dnah8"
"829","Klf3"
"830","Tgfbr3"
"831","Ripor2"
"832","Dmbt1"
"833","Gm4258"
"834","Gm34086"
"835","Gm12258"
"836","LOC102632541"
"837","Olfml3"
"838","Tmc3"
"839","Ggt5"
"840","Ermap"
"841","Gm51953"
"842","Gm36851"
"843","Gm30836"
"844","Gm40777"
"845","Nacad"
"846","Atp1a3"
"847","Gm46597"
"848","Egf"
"849","5730403I07Rik"
"850","Adam6b"
"851","Teddm2"
"852","Gm34069"
"853","Gm52546"
"854","Gm51891"
"855","Cd55"
"856","Gm34795"
"857","Gm42085"
"858","Gm30461"
"859","Sgms1"
"860","Atxn7l1os2"
"861","Gm40636"
"862","Cd55os"
"863","Nap1l5"
"864","Gm38984"
"865","Gm52873"
"866","Gm46029"
"867","Lman1l"
"868","Gm31684"
"869","LOC115485728"
"870","4930562F07Rik"
"871","LOC115490443"
"872","Gm52831"
"873","Arrdc3"
"874","Gm47922"
"875","Dgat1"
"876","Map3k9"
"877","Gm10840"
"878","H60b"
"879","Tsc22d3"
"880","Klf2"
"881","Lsr"
"882","Ldlrap1"
"883","Stk11ip"
"884","Zscan10"
"885","Gm51782"
"886","Wscd2"
"887","4930426L09Rik"
"888","Ksr2"
"889","Grm6"
"890","Tsc22d1"
"891","Gm36845"
"892","1700056E22Rik"
"893","Gm52186"
"894","Gm35824"
"895","Gm1043"
"896","Gm36482"
"897","Cacna1i"
"898","Trnp1"
"899","Lrrc23"
"900","H4c17"
"901","Gucy2c"
"902","Bend6"
"903","Peli3"
"904","Smim40"
"905","Gm33728"
"906","Ssc5d"
"907","Gm38795"
"908","Nlgn3"
"909","En2"
"910","Gpr3"
"911","Cd164l2"
"912","Dusp16"
"913","Gm51937"
"914","H1f2"
"915","Iqcn"
"916","Bicdl2"
"917","Gprc5a"
"918","Tagln"
"919","Cabyr"
"920","Gm5897"
"921","Gm14009"
"922","Bhlhe41"
"923","Zan"
"924","Gm46933"
"925","Gm46032"
"926","Tctex1d1"
"927","BC037032"
"928","Cadm4"
"929","Adcy1"
"930","A830035O19Rik"
"931","Slc23a3"
"932","Gm14965"
"933","Epas1"
"934","Mtmr10"
"935","Cpeb2"
"936","Gm15722"
"937","Gm6410"
"938","Gm8149"
"939","Il1rl2"
"940","Gm12167"
"941","Dusp8"
"942","Gm34632"
"943","Gm38482"
"944","Gm41025"
"945","LOC115486436"
"946","Gm11802"
"947","Gm33047"
"948","Gm16066"
"949","Gm33214"
"950","Gm31288"
"951","Gm35365"
"952","Gm42090"
"953","Gm51602"
"954","Gm46436"
"955","F630048H11Rik"
"956","Glra4"
"957","9630025h16rik"
"958","Gm30275"
"959","Gm33877"
